unit,cycle,last_observed_cycle,actual_rul,predicted_rul,prediction_error,absolute_error,risk_band_key,risk_band,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_2_rolling_mean_5,sensor_2_lag_1,sensor_2_diff_1
1,1,31,142.0,203.46307936507944,-61.46307936507944,61.46307936507944,3,LOWER PRIORITY,0.0023,0.0003,100.0,518.67,643.02,1585.29,1398.21,14.62,21.61,553.9,2388.04,9050.17,1.3,47.2,521.72,2388.03,8125.55,8.4052,0.03,392,2388,100.0,38.86,23.3735,643.02,643.02,0.0
1,2,31,141.0,226.20675396825385,-85.20675396825385,85.20675396825385,3,LOWER PRIORITY,-0.0027,-0.0003,100.0,518.67,641.71,1588.45,1395.42,14.62,21.61,554.85,2388.01,9054.42,1.3,47.5,522.16,2388.06,8139.62,8.3803,0.03,393,2388,100.0,39.02,23.3916,642.365,643.02,-1.3099999999999454
1,3,31,140.0,204.60542857142858,-64.60542857142858,64.60542857142858,3,LOWER PRIORITY,0.0003,0.0001,100.0,518.67,642.46,1586.94,1401.34,14.62,21.61,554.11,2388.05,9056.96,1.3,47.5,521.97,2388.03,8130.1,8.4441,0.03,393,2388,100.0,39.08,23.4166,642.3966666666666,641.71,0.75
1,4,31,139.0,210.97845238095235,-71.97845238095235,71.97845238095235,3,LOWER PRIORITY,0.0042,0.0,100.0,518.67,642.44,1584.12,1406.42,14.62,21.61,554.07,2388.03,9045.29,1.3,47.28,521.38,2388.05,8132.9,8.3917,0.03,391,2388,100.0,39.0,23.3737,642.4075,642.46,-0.01999999999998181
1,5,31,138.0,218.46542893217895,-80.46542893217895,80.46542893217895,3,LOWER PRIORITY,0.0014,0.0,100.0,518.67,642.51,1587.19,1401.92,14.62,21.61,554.16,2388.01,9044.55,1.3,47.31,522.15,2388.03,8129.54,8.4031,0.03,390,2388,100.0,38.99,23.413,642.4280000000001,642.44,0.06999999999993634
1,6,31,137.0,223.60870238095237,-86.60870238095237,86.60870238095237,3,LOWER PRIORITY,0.0012,0.0003,100.0,518.67,642.11,1579.12,1395.13,14.62,21.61,554.22,2388.0,9050.96,1.3,47.26,521.92,2388.08,8127.46,8.4238,0.03,392,2388,100.0,38.91,23.3467,642.246,642.51,-0.39999999999997726
1,7,31,136.0,218.11572222222227,-82.11572222222227,82.11572222222227,3,LOWER PRIORITY,-0.0,0.0002,100.0,518.67,642.11,1583.34,1404.84,14.62,21.61,553.89,2388.05,9051.39,1.3,47.31,522.01,2388.06,8134.97,8.3914,0.03,391,2388,100.0,38.85,23.3952,642.326,642.11,0.0
1,8,31,135.0,203.88236904761897,-68.88236904761897,68.88236904761897,3,LOWER PRIORITY,0.0006,-0.0,100.0,518.67,642.54,1580.89,1400.89,14.62,21.61,553.59,2388.05,9052.86,1.3,47.21,522.09,2388.06,8125.93,8.4213,0.03,393,2388,100.0,39.05,23.3224,642.342,642.11,0.42999999999995
1,9,31,134.0,210.8125780423281,-76.81257804232811,76.81257804232811,3,LOWER PRIORITY,-0.0036,0.0,100.0,518.67,641.88,1593.29,1412.28,14.62,21.61,554.49,2388.06,9048.55,1.3,47.37,522.03,2388.05,8134.15,8.4353,0.03,391,2388,100.0,39.1,23.4521,642.23,642.54,-0.6599999999999682
1,10,31,133.0,209.63394179894172,-76.63394179894172,76.63394179894172,3,LOWER PRIORITY,-0.0025,-0.0001,100.0,518.67,642.07,1585.25,1398.64,14.62,21.61,554.28,2388.04,9051.95,1.3,47.14,522.0,2388.06,8134.08,8.4093,0.03,391,2388,100.0,38.87,23.382,642.142,641.88,0.19000000000005457
